protein_0	protein_0
protein_2	protein_2
protein_3	protein_3
protein_4	protein_4
protein_6	protein_6
protein_6	protein_788
protein_8	protein_8
protein_8	protein_770
protein_11	protein_11
protein_12	protein_12
protein_13	protein_13
protein_15	protein_15
protein_15	protein_2291
protein_15	protein_2293
protein_15	protein_2296
protein_17	protein_17
protein_18	protein_18
protein_19	protein_19
protein_20	protein_20
protein_24	protein_24
protein_26	protein_26
protein_27	protein_27
protein_28	protein_28
protein_32	protein_32
protein_32	protein_784
protein_34	protein_34
protein_34	protein_774
protein_35	protein_35
protein_36	protein_36
protein_38	protein_38
protein_45	protein_45
protein_45	protein_265
protein_45	protein_854
protein_55	protein_55
protein_56	protein_56
protein_57	protein_57
protein_58	protein_58
protein_60	protein_60
protein_60	protein_67
protein_60	protein_33
protein_60	protein_281
protein_60	protein_598
protein_60	protein_444
protein_61	protein_61
protein_61	protein_771
protein_65	protein_65
protein_66	protein_66
protein_72	protein_72
protein_73	protein_73
protein_74	protein_74
protein_75	protein_75
protein_76	protein_76
protein_78	protein_78
protein_79	protein_79
protein_80	protein_80
protein_81	protein_81
protein_82	protein_82
protein_83	protein_83
protein_85	protein_85
protein_86	protein_86
protein_87	protein_87
protein_88	protein_88
protein_89	protein_89
protein_91	protein_91
protein_92	protein_92
protein_93	protein_93
protein_94	protein_94
protein_97	protein_97
protein_97	protein_98
protein_97	protein_109
protein_97	protein_112
protein_97	protein_156
protein_97	protein_181
protein_97	protein_236
protein_97	protein_239
protein_97	protein_184
protein_97	protein_96
protein_97	protein_168
protein_97	protein_195
protein_97	protein_221
protein_97	protein_108
protein_97	protein_111
protein_97	protein_146
protein_97	protein_105
protein_97	protein_160
protein_97	protein_185
protein_97	protein_191
protein_97	protein_180
protein_97	protein_192
protein_101	protein_101
protein_103	protein_103
protein_104	protein_104
protein_113	protein_113
protein_118	protein_118
protein_119	protein_119
protein_120	protein_120
protein_121	protein_121
protein_121	protein_124
protein_121	protein_188
protein_123	protein_123
protein_123	protein_122
protein_125	protein_125
protein_126	protein_126
protein_127	protein_127
protein_128	protein_128
protein_129	protein_129
protein_135	protein_135
protein_136	protein_136
protein_137	protein_137
protein_139	protein_139
protein_142	protein_142
protein_147	protein_147
protein_147	protein_169
protein_148	protein_148
protein_148	protein_100
protein_148	protein_189
protein_148	protein_170
protein_148	protein_247
protein_149	protein_149
protein_149	protein_198
protein_149	protein_172
protein_154	protein_154
protein_158	protein_158
protein_158	protein_150
protein_158	protein_102
protein_158	protein_166
protein_163	protein_163
protein_163	protein_197
protein_163	protein_171
protein_163	protein_190
protein_163	protein_152
protein_164	protein_164
